id,orders,interest,homes,discount,inventories,sold,tempdev,date
1,121,0.075,64,0,3536,615,2.22,1999-01-01
2,227,0.075,64,0,3042,813,0.28,1999-02-01
3,446,0.075,65,0,2456,704,0.79,1999-03-01
4,731,0.075,65,0,2198,1094,0.79,1999-04-01
5,1017,0.075,65,0,1835,825,3.42,1999-05-01
6,1473,0.075,68,0,2027,1140,2.14,1999-06-01
7,933,0.08,69,0,2360,1023,2.33,1999-07-01
8,2004,0.08,68,0,2270,1168,0.02,1999-08-01
9,3224,0.0825,70,3,3106,2388,0.42,1999-09-01
10,1176,0.0825,68,0,3942,1024,0.19,1999-10-01
11,1375,0.0825,68,0,4094,963,2.89,1999-11-01
12,1206,0.085,70,0,4506,2225,1.33,1999-12-01
13,123,0.085,68,0,3487,538,0.53,2000-01-01
14,0,0.0875,64,0,3072,650,0.91,2000-02-01
15,863,0.0875,64,2,2422,574,0.61,2000-03-01
16,412,0.09,60,0,2711,1014,1.59,2000-04-01
17,851,0.09,61,0,2109,871,1.42,2000-05-01
18,5105,0.095,64,5,2089,1078,0.3,2000-06-01
19,387,0.095,61,0,6116,961,0.48,2000-07-01
20,1270,0.095,63,0,5542,991,1.29,2000-08-01
21,298,0.095,62,0,5821,1764,0.19,2000-09-01
22,2092,0.095,62,0,4355,949,0.47,2000-10-01
23,-5,0.095,63,0,5498,879,2.56,2000-11-01
24,3688,0.095,62,5,4614,1160,0.09,2000-12-01
25,8,0.095,61,0,7142,574,2.25,2001-01-01
26,12,0.085,59,0,6576,603,2.12,2001-02-01
27,34,0.085,61,0,5985,742,0.33,2001-03-01
28,0,0.075,65,0,3069,618,0.11,2001-05-01
29,66,0.07,68,0,2451,735,2.7,2001-06-01
30,703,0.0675,70,0,1782,735,2.33,2001-07-01
31,729,0.0675,69,0,1750,734,0.03,2001-08-01
32,1013,0.065,70,0,1745,735,0.61,2001-09-01
33,1333,0.06,71,0,2023,973,1.43,2001-10-01
34,215,0.055,72,0,2383,789,1.66,2001-11-01
35,425,0.05,69,0,1809,832,0.86,2001-12-01
36,833,0.0475,70,0,1402,718,1,2002-01-01
37,854,0.0475,67,0,1517,730,0.94,2002-02-01
38,498,0.0475,63,0,1641,667,3.21,2002-03-01
39,598,0.0475,65,0,1472,919,0.54,2002-04-01
40,961,0.0475,66,1,1151,695,2.22,2002-05-01
41,754,0.0475,64,0,1417,927,0.81,2002-06-01
42,1098,0.0475,65,0,1244,877,0.28,2002-07-01
43,1158,0.0475,65,0,1465,809,0.5,2002-08-01
