num,share,price,nielsen,discount,promotion,month,year
1,3.15,2.198,498,yes,yes,Sep,1999
2,2.52,2.186,510,no,no,Oct,1999
3,2.64,2.293,422,yes,yes,Nov,1999
4,2.55,2.42,858,no,yes,Dec,1999
5,2.69,2.179,566,yes,no,Jan,2000
6,2.38,2.207,536,no,no,Feb,2000
7,3.02,2.127,585,yes,yes,Mar,2000
8,2.52,2.206,310,yes,no,Apr,2000
9,2.45,2.305,211,no,no,May,2000
10,2.42,2.26,504,no,yes,Jun,2000
11,3.16,2.205,234,yes,yes,Jul,2000
12,2.6,2.34,347,no,no,Aug,2000
13,2.98,2.171,430,yes,no,Sep,2000
14,2.5,2.201,518,no,yes,Oct,2000
15,2.45,2.248,465,no,no,Nov,2000
16,3.06,2.184,684,yes,yes,Dec,2000
17,2.34,2.373,152,no,no,Jan,2001
18,2.88,2.157,453,yes,yes,Feb,2001
19,2.94,2.129,485,yes,yes,Mar,2001
20,2.72,2.557,78,yes,no,Apr,2001
21,2.27,2.587,72,no,yes,May,2001
22,2.33,2.255,391,no,no,Jun,2001
23,2.64,2.124,322,yes,no,Jul,2001
24,2.76,2.683,317,yes,yes,Aug,2001
25,3.05,2.336,252,yes,yes,Sep,2001
26,2.48,2.266,446,no,yes,Oct,2001
27,2.23,2.443,521,no,no,Nov,2001
28,2.65,2.478,435,yes,yes,Dec,2001
29,2.56,2.394,402,yes,no,Jan,2002
30,2.66,2.414,468,yes,yes,Feb,2002
31,2.99,2.233,262,yes,no,Mar,2002
32,2.3,2.302,182,no,yes,Apr,2002
33,2.88,2.421,145,yes,yes,May,2002
34,2.8,2.518,270,yes,no,Jun,2002
35,2.48,2.497,322,no,yes,Jul,2002
36,2.85,2.781,317,yes,yes,Aug,2002
