X1,X2,copiers,minutes
20,2,20,2
60,4,60,4
46,3,46,3
41,2,41,2
12,1,12,1
137,10,137,10
68,5,68,5
89,5,89,5
4,1,4,1
32,2,32,2
144,9,144,9
156,10,156,10
93,6,93,6
36,3,36,3
72,4,72,4
100,8,100,8
105,7,105,7
131,8,131,8
127,10,127,10
57,4,57,4
66,5,66,5
101,7,101,7
109,7,109,7
74,5,74,5
134,9,134,9
112,7,112,7
18,2,18,2
73,5,73,5
111,7,111,7
96,6,96,6
123,8,123,8
90,5,90,5
20,2,20,2
28,2,28,2
3,1,3,1
57,4,57,4
86,5,86,5
132,9,132,9
112,7,112,7
27,1,27,1
131,9,131,9
34,2,34,2
27,2,27,2
61,4,61,4
77,5,77,5
